City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,puerto san jose,13.9256,-90.8244,85.24,60,92,3.22,GT,Sat Aug 19 11:14:22 2023
247,ca mau,9.1769,105.15,80.28,85,95,6.6,VN,Sat Aug 19 11:14:22 2023
248,nantucket,41.2835,-70.0995,75.09,64,0,18.41,US,Sat Aug 19 11:13:15 2023
249,georgetown,5.4112,100.3354,82.33,83,20,2.3,MY,Sat Aug 19 11:08:28 2023
250,moroni,-11.7022,43.2551,76.86,80,6,7.09,KM,Sat Aug 19 11:14:25 2023
251,hasaki,35.7333,140.8333,80.31,88,0,1.28,JP,Sat Aug 19 11:14:25 2023
252,raja,8.4596,25.678,82.02,74,27,3.89,SS,Sat Aug 19 11:14:26 2023
253,eastham,41.8301,-69.9739,77.59,67,0,12.66,US,Sat Aug 19 11:14:27 2023
254,sao borja,-28.6606,-56.0044,65.95,39,18,6.42,BR,Sat Aug 19 11:14:27 2023
255,al burayqah,30.4062,19.5739,82.13,70,0,16.64,LY,Sat Aug 19 11:14:27 2023
256,mehrhoog,51.7333,6.5167,77.32,70,100,4.72,DE,Sat Aug 19 11:14:28 2023
257,fale old settlement,-9.3852,-171.2468,82.96,77,93,18.45,TK,Sat Aug 19 11:14:28 2023
258,jawf al maqbabah,13.8378,45.8349,84.29,56,70,9.37,YE,Sat Aug 19 11:14:28 2023
259,burghaun,50.6968,9.7245,85.17,59,58,4.47,DE,Sat Aug 19 11:14:29 2023
260,acapulco de juarez,16.8634,-99.8901,85.82,66,0,3.44,MX,Sat Aug 19 11:14:29 2023
261,kogalym,62.2654,74.4791,52.05,79,100,19.19,RU,Sat Aug 19 11:14:30 2023
262,jamestown,42.097,-79.2353,73.02,50,20,12.66,US,Sat Aug 19 11:09:44 2023
263,nuuk,64.1835,-51.7216,45.21,87,75,18.99,GL,Sat Aug 19 11:14:30 2023
264,badger,64.8,-147.5333,54.99,86,100,8.05,US,Sat Aug 19 11:14:31 2023
265,kone,-21.0595,164.8658,62.71,87,18,1.99,NC,Sat Aug 19 11:14:31 2023
266,susuman,62.7833,148.1667,44.64,88,100,4.92,RU,Sat Aug 19 11:14:32 2023
267,at taj,24.2049,23.2857,99.68,11,0,10.63,LY,Sat Aug 19 11:14:32 2023
268,ambodifotatra,-16.9833,49.85,74.48,75,0,6.31,MG,Sat Aug 19 11:14:32 2023
269,yelizovo,53.1873,158.3805,57.34,93,0,8.99,RU,Sat Aug 19 11:14:33 2023
270,laascaanood,8.4774,47.3597,87.78,30,81,16.31,SO,Sat Aug 19 11:14:33 2023
271,pali,25.7667,73.3333,88.77,55,70,11.39,IN,Sat Aug 19 11:14:33 2023
